"nombre","descripcion","telefono","correo","sitioWeb"
"Testgroup","Empresa que provee soluciones innovadoras de QA personalizadas a diversos clientes. Cuenta con más de 16 años de experiencia y posee presencia internacional en Chile, Colombia, El Salvador y Costa Rica.","562 2607 5708","gestion.comercial@testgroup.cl","www.testgroup.cl"
"Soluciones Orión","Soluciones Orión impulsa la transformación digital en la empresa, asegurando mayor agilidad, eficiencia y competitividad, además de resguardar la seguridad de la información. Cuenta con oficinas en México, Perú, Argentina, Ecuador y Colombia.","562 2640 3900","info@solucionesorion.com","www.solucionesorion.com"
"Option","Equipo de 30 profesionales especializados en el desarrollo de ecosistemas de software para clientes en Latinoamérica, Suecia, Finlandia y España. Cuenta con oficinas en Miami, Estocolmo y Lima.","562 2887 3700","foliver@optionit.com","www.option.cl"
"Testgroup","Empresa que provee soluciones innovadoras de QA personalizadas a diversos clientes. Cuenta con más de 16 años de experiencia y posee presencia internacional en Chile, Colombia, El Salvador y Costa Rica.","562 2607 5708","gestion.comercial@testgroup.cl","www.testgroup.cl"
"Soluciones Orión","Soluciones Orión impulsa la transformación digital en la empresa, asegurando mayor agilidad, eficiencia y competitividad, además de resguardar la seguridad de la información. Cuenta con oficinas en México, Perú, Argentina, Ecuador y Colombia.","562 2640 3900","info@solucionesorion.com","www.solucionesorion.com"
"Option","Equipo de 30 profesionales especializados en el desarrollo de ecosistemas de software para clientes en Latinoamérica, Suecia, Finlandia y España. Cuenta con oficinas en Miami, Estocolmo y Lima.","562 2887 3700","foliver@optionit.com","www.option.cl"
"ISC","Empresa de tecnologías de la información pionera en el ecosistema de innovación, con más de 20 años de experiencia, ofreciendo soluciones y servicios para la banca, las telecomunicaciones y organismos gubernamentales.","+562 2236 2306","ventas@isc.cl","www.isc.cl"
"Browse","Ingeniería de software administrativo que genera soluciones informáticas abiertas, utilizando tecnologías de avanzada, brindando una respuesta eficaz y eficiente a la problemática administrativa y de gestión.","+562 27511700","browse@browse.cl","www.browse.cl"
"Tech-K","Empresa que se especializa en Business Intelligence como servicio. Procesa y analiza grandes volúmenes de información a través de la tecnología para entregar sus servicios.","+56 2 22441121","pgelmi@techk.cl","www.techk.cl"
"M-risk","M-risk es líder en el desarrollo de una plataforma tecnológica para la gestión de sustentabilidad y administración de riesgo. Software que administra riesgos operacionales y estratégicos desde una gestión integral en Salud & Seguridad, Medio Ambiente y Comunidades (HSEC) colaborando con la sostenibilidad en los negocios.","+56 2 29 404 100","contacto@m-risk.com","www.m-risk.com"
"Trencadis Innovación","Consultora de innovación, que ayuda a las empresas a innovar en Chile, Colombia y México.","+562 22331240","contacto@trencadis.cl","www.trencadisinnovacion.com"
"OGR","Consultora de innovación tecnológica que pretende desarrollar las capacidades de los estudiantes, reduciendo así la brecha social y económica.","+562 2 23069220","contacto@ogr.cl","www.ogr.cl"
"ComparaOnline‎","Plataforma web de asesoría financiera.","+562 2 483 9100","contact@comparaonline.com","www.comparaonline.cl"
"Mediastream","Mediastream se fundó en 2007 en Chile con la pasión por transmitir audio y video por internet y gracias a la experiencia lograda en este tiempo la empresa se expandió a Brasil, Colombia y Estados Unidos.","+56 2 2402 9750","contacto@mediastre.am","mediastre.am"
"Wisetrack","Wisetrack nace en el año 2005 para ofrecer servicios tecnológicos especializados y soluciones de gestión y control de flota, consolidando una propuesta de valor agregado.","+562 23893000","info@wisetrack.cl","www.wisetrack.cl"
"Mi Telemetría","Empresa dedicada al desarrollo de tecnologías para el mundo agrícola, marítimo y energético.","+562 24957727","info@savtec.cl","www.mitelemetria.cl"
"Quaos","Oficina de servicios profesionales independiente especializada en la aplicación de Data Science para resolver problemas financieros reales de alta complejidad, todo con el apoyo de tecnología propietaria de análisis y modelamientos avanzados referida bajo el nombre de AyMA®.","+56 2 3223 9320","info@quaos.cl","www.quaos.cl"
"Tinkit","Software de referidos o recomendaciones para incrementar ventas. Plataforma SaaS de incremento de ventas a través del marketing de referidos. Medición del ROI con analíticas de “referrals” con la digitalización del marketing de “boca a boca”.","+562 24068600","contacto@tinkit.co","tinkit.co"
"Ceptinel Risk Manager","Sistema que monitorea las actividades de la empresa y notifica cuando se detectan situaciones que requieren revisión en tiempo real. Orientados a Gerencias de Entornos Bursátiles, Operacionales, Riesgo, Compliance y Marketing, basado en la actividad del cliente.","contacto@ceptinel.com","ceptinel.com",""
"AgendaPro","Software de gestión para negocios de salud, belleza y deporte.","+569 4271 7566","contacto@agendapro.cl","agendapro.co/cl"
"In Motion","In Motion, empresa multinacional que se define como un partner estratégico en transformación digital, con foco en las verticales de seguros, telecomunicaciones, banca, retail y gobierno. Con una trayectoria de 23 años de participación directa y exitosa en importantes proyectos TI, tanto a nivel local como regional.","+562 2330 6767","info@inmotion.cl","www.grupoinmotion.com"
"Agile Ingeniería y Consultoría Ltda.","Oracle adquirió a Agile, un proveedor líder de soluciones de software de administración del ciclo de vida del producto (PLM). Las soluciones PLM de Agile impulsan la innovación del producto y el proceso de introducción en una variedad de industrias, incluidas las de alta tecnología, ciencias de la vida, fabricación industrial y productos envasados para el consumidor.","+562 22134014","contacto@agile.cl","www.agile.com"
"Adistec Chile Spa","Desarrollador de Seguridad y Datacenter, que tiene un portafolio sólido, integral y con marcas líderes en el mercado. Brinda valor mediante un equipo de ingeniería altamente reconocido en la industria.","+56 2 27565801","chile@adistec.com","www.adistec.com"
"Adexus","Empresa con más de 25 años de experiencia en Chile, dedicada al Outsourcing de procesos de negocios, tecnologías de la información, comunicaciones y aplicaciones, capaces de desarrollar e implementar exitosamente soluciones que agregan valor a los procesos de negocios de sus clientes.","+56 2 2686 1000","marketing@adexus.cl","www.adexus.cl"
"Acepta","Lidera el mercado de emisión de certificados de firma electrónica, factura electrónica, documentos electrónicos y biometría, aplicada a procesos de negocio, explorando además el mercado internacional.","+562 24968100","facturaelectronica@acepta.com","www.acepta.com"
"TOC Biometrics","Fundada en 2010, TOC S.A. es una empresa especializada en el desarrollo de tecnologías de verificación de identidad y aplicaciones derivadas de la teconología biométrica.","+56 2 2946 5752","contacto@toc.cl","www.toc.cl"
"Quaos","Oficina de servicios profesionales independiente especializada en la aplicación de Data Science para resolver problemas financieros reales de alta complejidad, todo con el apoyo de tecnología propietaria de análisis y modelamientos avanzados referida bajo el nombre de AyMA®.","+56 2 3223 9320","info@quaos.cl","www.quaos.cl"
"Tinkit","Software de referidos o recomendaciones para incrementar ventas. Plataforma SaaS de incremento de ventas a través del marketing de referidos. Medición del ROI con analíticas de “referrals” con la digitalización del marketing de “boca a boca”.","+562 24068600","contacto@tinkit.co","tinkit.co"
"Ceptinel Risk Manager","Sistema que monitorea las actividades de la empresa y notifica cuando se detectan situaciones que requieren revisión en tiempo real. Orientados a Gerencias de Entornos Bursátiles, Operacionales, Riesgo, Compliance y Marketing, basado en la actividad del cliente.","contacto@ceptinel.com","ceptinel.com",""
"Sofía Gestión Agrícola","Plataforma web de gestión agrícola, amable e intuitiva, que convierte las libretas de anotaciones y planillas de Excel (tarjas), en un sistema integral de registro, administración online y de uso gratuito.","+567 2383402","websofia@reset.cl","www.sofiagestionagricola.cl"
"Cognitiva Chile SPA","Empresa de consultoría de negocios y soluciones de computación cognitiva. A través de una alianza estratégica con IBM, se convirtió en la única empresa responsable de comercializar Watson en español.","+56 23210 2000","info@cognitiva.la","www.cognitiva.la"
"Coasin Chile S.A.","Empresa líder capaz de integrar soluciones tecnológicas de alto valor agregado y prestar servicios TIC en modalidad outsourcing, de manera integral y verticalizada a todas las industrias.","+562 2410 8000","contacto@coasin.cl","www.coasin.cl"
"E-sign S.A.","Empresa especializada en brindar soluciones de seguridad y confianza en internet, teniendo como base la innovación y la búsqueda de la confianza en los canales electrónicos. Impulsa y genera papeles electrónicos de valor legal, lo que permite “despapelizar” todo tipo de documentos, mejorando así los niveles de servicio de las empresas.","+562 24331500","contacto@e-sign.cl","www.e-sign.cl"
"E.nable","Empresa chilena pionera en soluciones TI con más de 10 años de experiencia en la industria financiera y bancaria.","+56 2 26512900","info@enable.cl","www.enable.cl"
"Desis Ltda.","Está enfocada en desarrollar, adaptar y transferir tecnologías de información y de gestión para dar solución a problemas específicos, con el objeto de potenciar a las organizaciones insertas en este mercado, entendiendo y asumiendo la importancia de obtener beneficios económicos y humanos a través de la implementación de tecnologías en sus procesos tradicionales.","+562 29472800","desis@desis.cl","www.desis.cl"
"Intersystems Chile Ltda.","Compañía desarrolladora de software, bases de datos y aplicaciones.","+562 2892 6000","support@intersystems.com","www.intersystems.com/cl"
"BNovus","Gestiona el talento de su organización a través de un software basado en estándares internacionales, donde el cruce de elementos tecnológicos, administrativos y técnicas de juego (Gamification), constituyen una solución real para recursos humanos y la empresa en general.","+562 2599 7199","contacto@intercapit.com","www.bnovus.cl"
"Intel Tecnología Chile S.A.","Fabricante de procesadores y soluciones tecnológicas.","+562 25827100","contacto@intelchile.com","www.intel.com"
"Universidad Tecnológica de Chile Inacap","Inacap es un Sistema Integrado de Educación Superior, constituido por la Universidad Tecnológica de Chile Inacap, el Instituto Profesional Inacap y el Centro de Formación Técnica Inacap, que comparten una misión y valores institucionales. El Sistema Integrado de Educación Superior Inacap y su Organismo Técnico de Capacitación Inacap están presentes, a través de sus 26 sedes, a lo largo de Chile.","+562 800 20 25 20","informaciones@inacap.cl","www.inacap.com"
"Bsale","Empresa que ofrece herramientas dirigidas a simplificar la administración del negocio de sus clientes.","+56 2 2 2584 7206","ayuda@bsale.app","www.bsale.cl"
"IBM de Chile S.A.C.","Fabrica y comercializa hardware y software para computadoras. Además ofrece servicios de infraestructura, alojamiento de Internet, y consultoría en una amplia gama de áreas relacionadas con la informática, desde computadoras centrales hasta nanotecnología.","+562 2200 6000","bkrause@cl.ibm.com","www.ibm.com/cl-es"
"Hiway S.A.","Empresa experta en soluciones de Tecnologías de Información y Comunicaciones. Como Partner Premier de Cisco, lleva más de 11 años entregando sus servicios al mercado latinoamericano.","+56 2 29407500","info@hiway.cl","www.hiway.cl"
"Infox","Infox es una empresa de Hexa Informática Ltda., con 32 años de experiencia en el diseño, desarrollo, operación y mantención de grandes proyectos informáticos.","+562 32 328 8954","epc@infox.cl","www.infox.cl"
"GS1","Es una organización mundial, que opera en más de 150 países, dedicada al desarrollo de estándares globales para la identificación de productos y servicios.","+562 2 3278 3500","info@gs1chile.org","www.gs1chile.org"
"Equipos Técnicos y de Comunicaciones S.A.","Empresa que cuenta con la capacidad para integrar soluciones tecnológicas de alto valor y además presta servicios TIC en diferentes modalidades. Dispone de un equipo profesional y técnico de excelencia que presta servicios a lo largo de todo el país. Pone a disposición de sus clientes una propuesta de tecnología, conocimiento y mejores prácticas, que soportan todos los servicios con que cuenta.","+56 2 2783 2000","info@eticsa.cl","www.eticsa.cl"
"E-sign S.A.","Empresa especializada en brindar soluciones de seguridad y confianza en internet, teniendo como base la innovación y la búsqueda de la confianza en los canales electrónicos. Impulsa y genera papeles electrónicos de valor legal, lo que permite “despapelizar” todo tipo de documentos, mejorando así los niveles de servicio de las empresas.","+562 24331500","contacto@e-sign.cl","www.e-sign.cl"
"E.nable","Empresa chilena pionera en soluciones TI con más de 10 años de experiencia en la industria financiera y bancaria.","+56 2 26512900","info@enable.cl","www.enable.cl"
"Desis Ltda.","Está enfocada en desarrollar, adaptar y transferir tecnologías de información y de gestión para dar solución a problemas específicos, con el objeto de potenciar a las organizaciones insertas en este mercado, entendiendo y asumiendo la importancia de obtener beneficios económicos y humanos a través de la implementación de tecnologías en sus procesos tradicionales.","+562 29472800","desis@desis.cl","www.desis.cl"
"Latinshare","Consultora latinoamericana especializada en tecnologías de la información. Cuenta con un grupo de reconocidos y certificados profesionales, con una amplia experiencia implementando soluciones tecnológicas sobre SharePoint, Project Server, Office 365, SQL Server, Exchange, Yammer, Microsoft Azure y System Center, entre otras tecnologías Microsoft.","+56 2 28864539","contacto@latinshare.com","latinshare.com"
"Dell Computer de Chile Ltda.","Desarrolla, fabrica, vende y da soporte a computadoras personales, servidores, switches de red, programas informáticos, periféricos y otros productos relacionados con la tecnología.","+562 2685 6800","dell@dell.com","www.dell.com"
"Microsoft Chile S.A.","Fundada en 1975, Microsoft es el líder mundial en software, servicios, dispositivos y soluciones que ayudan a las personas y las empresas a desarrollar todo su potencial.","+562 2 3306000","contact@microsoft.com","www.microsoft.com/es-cl/"
"Magnacom Chile S.A.","Compañía enfocada en mejorar la posición competitiva de  sus clientes mediante la asesoría, diseño, desarrollo e implementación de plataformas de software, herramientas y aplicaciones informáticas adaptadas eficientemente a sus requerimientos específicos.","+56 2 2430 1515","contacto@magnacom.cl","www.magnacom.cl"
"Level 3 Chile S.A.","Es un proveedor líder en servicios de comunicación global, y crea soluciones que fortalecen el crecimiento, la eficacia y la seguridad de las empresas de todo el mundo.","+562 24225900","info-chile@level3.com","www.level3.com"
"Morpho S.A.","Con una combinación de actividades complementarias que abordan las necesidades específicas de cinco industrias principales (Servicios financieros, Telecomunicaciones, Identidad, Seguridad e IoT), OT-Morpho tiene una amplia presencia global y una experiencia tecnológica única en las áreas de Biometría, Autenticación, Seguridad digital, Datos y análisis de video.","+56 2 29238200","info@morpho.com","www.morpho.com"
"Safesigner SPA","Safesigner permite realizar cualquier tipo de operación financiera con el móvil de forma cómoda y segura, sin necesidad de utilizar tarjetas, tokens, o medios de seguridad complementarios.","+562 2 2474691","contacto@orand.cl","safesigner.com"
"Safehis SPA","Sus soluciones están enfocadas a apoyar la inteligencia de los procesos clínicos y han sido desarrolladas con el aporte de destacados profesionales del sector salud, con el objetivo de obtener altos impactos positivos en seguridad, calidad, eficiencia, ahorro, control y gestión de procesos.","+562 22474691","contacto@safehis.com","www.safehis.com"
"Red Universitaria Nacional","Es una corporación integrada por universidades, centros de investigación de excelencia y grupos astronómicos internacionales. Es la Red Nacional para Investigación y Educación Chilena (NREN por su sigla en inglés), y actualmente, está conformada por 34 instituciones.","+562 2337 0300","Info@reuna.cl","www.reuna.cl"
"Red Hat Chile Limitada","Proveedor líder mundial de soluciones de open source.","+562 25977000","press@redhat.com","www.redhat.com/en/global/chile"
"Rayen Salud SPA","Es una empresa chilena innovadora de Servicios TI en Salud, con amplia experiencia en la incorporación de herramientas colaborativas e implementación de Ficha Clínica Electrónica para la gestión sanitaria, aportando en la mejora constante de la eficiencia y continuidad operacional de la estrategia digital en el sector salud, con un impacto concreto en la vida de las personas.","+56 2 2588 8800","contacto@rayensalud.com","www.rayensalud.com"
"Provectis S.A.","Compañía especializada en el desarrollo e implementación de soluciones y servicios de misión crítica integrales para centros de datos. Combina la experiencia y profesionalismo de su equipo de ingenieros, arquitectos de especialidad y consultores y el sólido portafolio de productos y servicios de sus partners estratégicos tales como IBM, Hitachi, Veritas/Symantec, HP, Sumeru Solutions, Microsoft, EMC2, Vmware, NetGlobalis, Dell y Lenovo.","+562 24315900","info@provectis.cl","www.provectis.cl"
"Sonda S.A.","Proveedor de soluciones y servicios TI.","+562 26575000","corporativo@sonda.com","www.sonda.com"
"Pontificia Universidad Católica de Chile","Fue fundada el 21 de junio de 1888 por iniciativa del Arzobispo de Santiago, Monseñor Mariano Casanova, con el objetivo de ser una institución que integrara la excelencia académica y una formación inspirada en la doctrina cristiana.","+562 23544000","uc@uc.cl","www.uc.cl"
"Soluciones Expertas S.A.","Empresa proveedora de soluciones tecnológicas, que implementa desde 1993 sistemas informáticos para la gestión de operaciones de diversas industrias.","+562 29232900","info@solex.cl","www.solex.cl"
"Paperless","Empresa dedicada a la generación, procesamiento y administración de documentos electrónicos en Latinoamérica.","+56 2 2589 5400","info@paperlessla.com","www.paperlessla.com/paperless/home/cl/"
"Softgroup","It provides technological development, software, outsourcing and consultancy services.","2 24692055","jocqueteau@softgroup.cl","www.softgroup.cl"
"Optimisa S.A.","Cuenta con más de 31 años de experiencia, entregando servicios de integración, migración, mantenimiento, soporte, desarrollo y configuración en soluciones para medios de pago, en plataformas tales como: ON/2|BASE24|BASE24-eps. Tiene experiencia en redes y bancos en Latinoamérica.","+562 2335 8241","info@optimisa.cl","www.optimisa.cl"
"SOAInt Gestión S.A.","Nació como una empresa consultora especializada en los nuevos estándares BPM, SOA, Seguridad, ECM y Modernización, sin embargo la evolución de estos conceptos como parte del nuevo modelo de arquitectura IT de las empresas, provocó una transformación en SOAInt para convertirse en una de las firmas líderes en el ámbito de transformación de arquitectura TI a nivel de Europa, Medio Oriente y Latinoamérica.","+562 26327701","contacto@soaint.com","soaint.com"
"Provectis S.A.","Compañía especializada en el desarrollo e implementación de soluciones y servicios de misión crítica integrales para centros de datos. Combina la experiencia y profesionalismo de su equipo de ingenieros, arquitectos de especialidad y consultores y el sólido portafolio de productos y servicios de sus partners estratégicos tales como IBM, Hitachi, Veritas/Symantec, HP, Sumeru Solutions, Microsoft, EMC2, Vmware, NetGlobalis, Dell y Lenovo.","+562 24315900","info@provectis.cl","www.provectis.cl"
"Sonda S.A.","Proveedor de soluciones y servicios TI.","+562 26575000","corporativo@sonda.com","www.sonda.com"
"Pontificia Universidad Católica de Chile","Fue fundada el 21 de junio de 1888 por iniciativa del Arzobispo de Santiago, Monseñor Mariano Casanova, con el objetivo de ser una institución que integrara la excelencia académica y una formación inspirada en la doctrina cristiana.","+562 23544000","uc@uc.cl","www.uc.cl"
"Soluciones Expertas S.A.","Empresa proveedora de soluciones tecnológicas, que implementa desde 1993 sistemas informáticos para la gestión de operaciones de diversas industrias.","+562 29232900","info@solex.cl","www.solex.cl"
"Paperless","Empresa dedicada a la generación, procesamiento y administración de documentos electrónicos en Latinoamérica.","+56 2 2589 5400","info@paperlessla.com","www.paperlessla.com/paperless/home/cl/"
"Softgroup","It provides technological development, software, outsourcing and consultancy services.","2 24692055","jocqueteau@softgroup.cl","www.softgroup.cl"
"Optimisa S.A.","Cuenta con más de 31 años de experiencia, entregando servicios de integración, migración, mantenimiento, soporte, desarrollo y configuración en soluciones para medios de pago, en plataformas tales como: ON/2|BASE24|BASE24-eps. Tiene experiencia en redes y bancos en Latinoamérica.","+562 2335 8241","info@optimisa.cl","www.optimisa.cl"
"SOAInt Gestión S.A.","Nació como una empresa consultora especializada en los nuevos estándares BPM, SOA, Seguridad, ECM y Modernización, sin embargo la evolución de estos conceptos como parte del nuevo modelo de arquitectura IT de las empresas, provocó una transformación en SOAInt para convertirse en una de las firmas líderes en el ámbito de transformación de arquitectura TI a nivel de Europa, Medio Oriente y Latinoamérica.","+562 26327701","contacto@soaint.com","soaint.com"
"Nubox SPA","Nació en 2001 en Santiago, Chile. En un principio se transformó en Servipyme, una filial del Banco del Desarrollo, siendo una de las primeras empresas en Chile en ofrecer software administrativo a través de la web y completamente online. Hoy es una compañía que brinda servicios de software de contabilidad, remuneraciones y de factura electrónica para contadores, pequeñas y medianas empresas.","+562 2 478 5000","contacto@nubox.com","www.nubox.com"
"Seidor","Multinacional española del sector tecnológico que ofrece servicios y soluciones integrales en el ámbito de la consultoría de software y servicios informáticos. Su amplio portafolio cubre: consultoría, servicios de infraestructura, implantación, desarrollo y mantenimiento de aplicaciones y servicios de outsourcing.","+562 26564100","comunicacion@seidor.es","www.seidor.cl"
"Novared Chile S.A.","Fue fundada en Santiago de Chile a comienzos de 1995, respondiendo a los desafíos que las nuevas tecnologías relacionadas a internet estaban planteando en el mercado. Actualmente, con 18 años de existencia, la empresa se consagra en brindar soluciones integrales a sus clientes en el área tecnológica.","+562 2499 9000","infochile@novared.net","www.novared.net"
"Smartdici","Empresa que entrega soluciones tecnológicas a diferentes industrias. En constante crecimiento y aprendizaje, actualmente se encuentran aplicando inteligencia artificial en la Agricultura, Transporte, Telecomunicaciones y Comportamiento de personas.","56232165543","contacto@smartdici.com","www.smartdici.com"
"Trends Asesorías S.A.","El grupo de empresas Trends tiene su base en Chile y opera en variados mercados del resto de América. Sus áreas de negocio abarcan distintos productos y servicios relacionados con Outsourcing, Consultoría, Tecnología, Comercio Electrónico y otros, en rubros como Finanzas, Telecomunicaciones, Salud, Educación, Comunicaciones y más.","+562 2206 4491","info@trends.cl","www.trends.cl"
"Tinet Soluciones Informáticas S.A.","Empresa de servicios de tecnología digital. Brinda soluciones personalizadas y de alto valor para sus clientes.","+56 2 2663 6600","contacto@tinet.cl","www.tinet.cl"
"Teradata","Empresa que ofrece resultados comerciales a través de soluciones tecnológicas en las áreas más importantes: desde la excelencia operativa y la optimización de activos, hasta la experiencia del cliente y la innovación de productos, para financiar la transformación y la mitigación de riesgos.","+562 28629800","patricio.llaona@teradata.com","www.teradata.com.es"
"Staff Tecnología y Procesos Eirl","Por más de 10 años, han liderado numerosos proyectos de optimización y gestión de servicios TI, mediante la estandarización, monitoreo y mejora continua de procesos tecnológicos y de negocios.","+562 2601 4561","consultores@stafftp.com","www.stafftp.com"
"ST Computación S.A.","Se fundó en 1976 en Santiago de Chile. En sus inicios, los fundadores de la compañía, Hernán Subelman y José Pedro Torres, se dieron cuenta de la relevancia que adquiriría el rubro de la tecnología en el futuro, lo cual los llevó a convertirse en un proveedor especializado en la implementación, capacitación y soporte técnico de Hardware. Hoy parte de los servicios que brindan se han relacionado con las “Soluciones on Demand”.","+562 2372 3200","www.st.cl","stcomputacion@gmail.com"
"Southern Technology Group Ltda.","Southern Technology Group es una compañía chilena fundada el año 2002 con amplia trayectoria en el mercado de integración de tecnologías de punta, cuenta con gran experiencia en la logística y los procesos empresariales en diversos mercados verticales, tales como venta al por menor, industria y de salud.","+562 2 392 5000","www.stgchile.cl","damaris.cordero@stgchile.cl"
"SimpliRoute","SimpliRoute es una plataforma web que permite a todas las empresas que hagan despachos o repartos poder reducir sus costos hasta en un 30% y poder dar visibilidad a sus clientes en donde se encuentran los despachos y poder asegurarse que el cliente lo reciba a tiempo para así mejorar la experiencia completa de entrega.","+562 32452572","alvaro@simpliroute.com","www.simpliroute.com"
"Smartdici","Empresa que entrega soluciones tecnológicas a diferentes industrias. En constante crecimiento y aprendizaje, actualmente se encuentran aplicando inteligencia artificial en la Agricultura, Transporte, Telecomunicaciones y Comportamiento de personas.","56232165543","contacto@smartdici.com","www.smartdici.com"
"Trends Asesorías S.A.","El grupo de empresas Trends tiene su base en Chile y opera en variados mercados del resto de América. Sus áreas de negocio abarcan distintos productos y servicios relacionados con Outsourcing, Consultoría, Tecnología, Comercio Electrónico y otros, en rubros como Finanzas, Telecomunicaciones, Salud, Educación, Comunicaciones y más.","+562 2206 4491","info@trends.cl","www.trends.cl"
"Tinet Soluciones Informáticas S.A.","Empresa de servicios de tecnología digital. Brinda soluciones personalizadas y de alto valor para sus clientes.","+56 2 2663 6600","contacto@tinet.cl","www.tinet.cl"
"Teradata","Empresa que ofrece resultados comerciales a través de soluciones tecnológicas en las áreas más importantes: desde la excelencia operativa y la optimización de activos, hasta la experiencia del cliente y la innovación de productos, para financiar la transformación y la mitigación de riesgos.","+562 28629800","patricio.llaona@teradata.com","www.teradata.com.es"
"Sistemas Expertos","Empresa chilena que desarrolla todo en open source. Su foco principal es el ámbito de la salud, tienen sistemas ERP HIS y de apoyo. En la parte de movilidad, cuenta con sistemas de telemonitoreo de pacientes con máquinas que contienen sensores y así poder controlar a distancia a pacientes con enfermedades crónicas.","+562 32024575","jaime.araya@sistemasexpertos.cl","www.sistemasexpertos.cl"
"MetricArts","MetricArts ofrece soluciones para ciudades inteligentes basadas en dos focos: Foco Transporte, basado en aplicaciones de Visión Computacional para la detección de evasión en el pago; y Foco Ambiental, basado en sensores IoT para la generación de alertas tempranas ambientales, y descubrimiento de patrones para la mejora de políticas públicas asociadas.","+562 29489681","pcofre@metricarts.com","www.metricarts.com"
"Xenitt","Empresa que apoya a las empresas y ciudades en su proceso de transformación digital, mediante el desarrollo y creación de plataformas web, aplicaciones móviles, dispositivos electrónicos y sensores inteligentes.","+56 9512 470 910","contacto@xenitt.cl","http://new.xenitt.cl/"
